Country	iso3c	ID	Caption	Provider	Artist	ArtistURL	ArtistHTML	License	LicenseURL	ImageName	InfoURL	FileURL	folder	iso2c	OriginURL	w640_URL	Attribution
Antigua & Barbuda	ATG	1	Tourism threatens the remaining forest as well as the mangroves which are being cleared for large-scale hotels.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://web.archive.org/web/20161103094930/http://www.panoramio.com/user/558771?with_photo_id=131638329'>Андрей Бобровский</a>	CC BY 3.0	https://creativecommons.org/licenses/by/3.0	St_John%27s,_Antigua_and_Barbuda_-_panoramio_(1).jpg	https://commons.wikimedia.org/wiki/File:St_John%27s,_Antigua_and_Barbuda_-_panoramio_(1).jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/St_John%27s,_Antigua_and_Barbuda_-_panoramio_(1).jpg/640px-St_John%27s,_Antigua_and_Barbuda_-_panoramio_(1).jpg	4/4a/	AG	NA	NA	<a rel='nofollow' class='external text' href='https://web.archive.org/web/20161103094930/http://www.panoramio.com/user/558771?with_photo_id=131638329'>Андрей Бобровский</a>, <a href='https://commons.wikimedia.org/wiki/File:St_John%27s,_Antigua_and_Barbuda_-_panoramio_(1).jpg'>St_John%27s,_Antigua_and_Barbuda_-_panoramio_(1).jpg</a>; <a href='https://creativecommons.org/licenses/by/3.0'>CC BY 3.0</a>, via Wikimedia Commons
Antigua & Barbuda	ATG	2	Most of the trees were destroyed in order to make room for the sugar cane plantations.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/photos/15313835@N00'>Z_dead</a> from London, UK	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Plantation_sugar_mills.jpg	https://commons.wikimedia.org/wiki/File:Plantation_sugar_mills.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Plantation_sugar_mills.jpg/640px-Plantation_sugar_mills.jpg	f/f2/	AG	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/photos/15313835@N00'>Z_dead</a> from London, UK, <a href='https://commons.wikimedia.org/wiki/File:Plantation_sugar_mills.jpg'>Plantation_sugar_mills.jpg</a>; <a href='https://creativecommons.org/licenses/by/2.0'>CC BY 2.0</a>, via Wikimedia Commons
Antigua & Barbuda	ATG	3	Education in Antigua and Barbuda has had some successes largely as the result of mandatory school enrollment for all children aged five to 16.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/21187388@N06'>University of the Fraser Valley</a>	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Antigua-_Buckleys_Primary_School_(7178622314).jpg	https://commons.wikimedia.org/wiki/File:Antigua-_Buckleys_Primary_School_(7178622314).jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Antigua-_Buckleys_Primary_School_(7178622314).jpg/640px-Antigua-_Buckleys_Primary_School_(7178622314).jpg	2/24/	AG	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/21187388@N06'>University of the Fraser Valley</a>, <a href='https://commons.wikimedia.org/wiki/File:Antigua-_Buckleys_Primary_School_(7178622314).jpg'>Antigua-_Buckleys_Primary_School_(7178622314).jpg</a>; <a href='https://creativecommons.org/licenses/by/2.0'>CC BY 2.0</a>, via Wikimedia Commons
Argentina	ARG	1	Cristina Fernandez De Kirchner, who is serving as the 37th Vice President of Argentina since 2019. She also previously served as the President of Argentina from 2007 to 2015 and the first lady during the tenure of her husband, Néstor Kirchner.	Wikimedia	NA	NA	Presidencia de la N. Argentina	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Cristina_Fern%C3%A1ndez_de_Kirchner_-_Foto_Oficial_2.jpg	https://commons.wikimedia.org/wiki/File:Cristina_Fern%C3%A1ndez_de_Kirchner_-_Foto_Oficial_2.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Cristina_Fern%C3%A1ndez_de_Kirchner_-_Foto_Oficial_2.jpg/640px-Cristina_Fern%C3%A1ndez_de_Kirchner_-_Foto_Oficial_2.jpg	0/05/	AR	NA	NA	Presidencia de la N. Argentina, <a href='https://commons.wikimedia.org/wiki/File:Cristina_Fern%C3%A1ndez_de_Kirchner_-_Foto_Oficial_2.jpg'>Cristina_Fern%C3%A1ndez_de_Kirchner_-_Foto_Oficial_2.jpg</a>; <a href='https://creativecommons.org/licenses/by/2.0'>CC BY 2.0</a>, via Wikimedia Commons
Argentina	ARG	2	Deforestation due to agricultural expansion of soybean is threatening the Yungas ""cloud forest."".	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Gonza_Mart%C3%ADnez27&amp;action=edit&amp;redlink=1' class='new' title='User:Gonza Martínez27 (page does not exist)'>Gonza Martínez27</a>	CC BY 3.0	https://creativecommons.org/licenses/by/3.0	Selva_montana_de_las_Yungas_en_Catamarca,_Argentina.jpg	https://commons.wikimedia.org/wiki/File:Selva_montana_de_las_Yungas_en_Catamarca,_Argentina.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Selva_montana_de_las_Yungas_en_Catamarca,_Argentina.jpg/640px-Selva_montana_de_las_Yungas_en_Catamarca,_Argentina.jpg	3/34/	AR	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Gonza_Mart%C3%ADnez27&amp;action=edit&amp;redlink=1' class='new' title='User:Gonza Martínez27 (page does not exist)'>Gonza Martínez27</a>, <a href='https://commons.wikimedia.org/wiki/File:Selva_montana_de_las_Yungas_en_Catamarca,_Argentina.jpg'>Selva_montana_de_las_Yungas_en_Catamarca,_Argentina.jpg</a>; <a href='https://creativecommons.org/licenses/by/3.0'>CC BY 3.0</a>, via Wikimedia Commons
Argentina	ARG	3	Soybean farming.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Alfonso%22' title='User:Alfonso''>User:Alfonso'</a>	CC-BY-SA-3.0	http://creativecommons.org/licenses/by-sa/3.0/	Sembrado_de_soja_en_argentina.jpg	https://commons.wikimedia.org/wiki/File:Sembrado_de_soja_en_argentina.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Sembrado_de_soja_en_argentina.jpg/640px-Sembrado_de_soja_en_argentina.jpg	e/e6/	AR	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Alfonso%22' title='User:Alfonso''>User:Alfonso'</a>, <a href='https://commons.wikimedia.org/wiki/File:Sembrado_de_soja_en_argentina.jpg'>Sembrado_de_soja_en_argentina.jpg</a>; <a href='http://creativecommons.org/licenses/by-sa/3.0/'>CC-BY-SA-3.0</a>, via Wikimedia Commons
Armenia	ARM	1	Mountainous terrain.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Alexxx1979' title='User:Alexxx1979'>Alexxx1979</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Armenia,_mountains_P8210292_2350.jpg	https://commons.wikimedia.org/wiki/File:Armenia,_mountains_P8210292_2350.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Armenia,_mountains_P8210292_2350.jpg/640px-Armenia,_mountains_P8210292_2350.jpg	c/c6/	AM	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Alexxx1979' title='User:Alexxx1979'>Alexxx1979</a>, <a href='https://commons.wikimedia.org/wiki/File:Armenia,_mountains_P8210292_2350.jpg'>Armenia,_mountains_P8210292_2350.jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/4.0'>CC BY-SA 4.0</a>, via Wikimedia Commons
Armenia	ARM	2	Impoverished rural village.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Liveon001' title='User:Liveon001'>Liveon001</a> © Travis K. Witt	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Shorzha,_Armenia.JPG	https://commons.wikimedia.org/wiki/File:Shorzha,_Armenia.JPG	https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Shorzha,_Armenia.JPG/640px-Shorzha,_Armenia.JPG	6/69/	AM	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Liveon001' title='User:Liveon001'>Liveon001</a> © Travis K. Witt, <a href='https://commons.wikimedia.org/wiki/File:Shorzha,_Armenia.JPG'>Shorzha,_Armenia.JPG</a>; <a href='https://creativecommons.org/licenses/by-sa/4.0'>CC BY-SA 4.0</a>, via Wikimedia Commons
Armenia	ARM	3	The polluted Shnogh and Debed Rivers.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Serouj' title='User:Serouj'>Serouj</a> (courtesy of Ani Vardanyan)	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	Teghut_Mine_-_polluted_Shnogh_River_meets_Debed_River.jpg	https://commons.wikimedia.org/wiki/File:Teghut_Mine_-_polluted_Shnogh_River_meets_Debed_River.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Teghut_Mine_-_polluted_Shnogh_River_meets_Debed_River.jpg/640px-Teghut_Mine_-_polluted_Shnogh_River_meets_Debed_River.jpg	f/f8/	AM	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Serouj' title='User:Serouj'>Serouj</a> (courtesy of Ani Vardanyan), <a href='https://commons.wikimedia.org/wiki/File:Teghut_Mine_-_polluted_Shnogh_River_meets_Debed_River.jpg'>Teghut_Mine_-_polluted_Shnogh_River_meets_Debed_River.jpg</a>; <a href='http://creativecommons.org/publicdomain/zero/1.0/deed.en'>CC0</a>, via Wikimedia Commons
Australia	AUS	1	The Great Barrier Reef has been designated “critical status” by the IUCN.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Wisseeyy&amp;action=edit&amp;redlink=1' class='new' title='User:Wisseeyy (page does not exist)'>Wise Hok Wai Lum</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Great_barrier_reef.JPG	https://commons.wikimedia.org/wiki/File:Great_barrier_reef.JPG	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Great_barrier_reef.JPG/640px-Great_barrier_reef.JPG	9/9c/	AU	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Wisseeyy&amp;action=edit&amp;redlink=1' class='new' title='User:Wisseeyy (page does not exist)'>Wise Hok Wai Lum</a>, <a href='https://commons.wikimedia.org/wiki/File:Great_barrier_reef.JPG'>Great_barrier_reef.JPG</a>; <a href='https://creativecommons.org/licenses/by-sa/4.0'>CC BY-SA 4.0</a>, via Wikimedia Commons
Australia	AUS	2	The European Rabbit is one of many invasive species that hurts Australia's native species and crops.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:JJ_Harrison' title='User:JJ Harrison'>JJ Harrison</a> (<a rel='nofollow' class='external free' href='https://www.jjharrison.com.au/'>https://www.jjharrison.com.au/</a>)	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Oryctolagus_cuniculus_Tasmania_2.jpg	https://commons.wikimedia.org/wiki/File:Oryctolagus_cuniculus_Tasmania_2.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Oryctolagus_cuniculus_Tasmania_2.jpg/640px-Oryctolagus_cuniculus_Tasmania_2.jpg	3/37/	AU	NA	NA	<a href='//commons.wikimedia.org/wiki/User:JJ_Harrison' title='User:JJ Harrison'>JJ Harrison</a> (<a rel='nofollow' class='external free' href='https://www.jjharrison.com.au/'>https://www.jjharrison.com.au/</a>), <a href='https://commons.wikimedia.org/wiki/File:Oryctolagus_cuniculus_Tasmania_2.jpg'>Oryctolagus_cuniculus_Tasmania_2.jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/3.0'>CC BY-SA 3.0</a>, via Wikimedia Commons
Australia	AUS	3	""Climate Angel"" protestors advocating for sustainability.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/81043308@N00'>Takver</a> from Australia	CC BY-SA 2.0	https://creativecommons.org/licenses/by-sa/2.0	Climate_Angels_outside_the_Australian_Government_offices_-_Extinction_Rebellion_Melbourne_-_IMG_4443_(33564980458).jpg	https://commons.wikimedia.org/wiki/File:Climate_Angels_outside_the_Australian_Government_offices_-_Extinction_Rebellion_Melbourne_-_IMG_4443_(33564980458).jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Climate_Angels_outside_the_Australian_Government_offices_-_Extinction_Rebellion_Melbourne_-_IMG_4443_(33564980458).jpg/640px-Climate_Angels_outside_the_Australian_Government_offices_-_Extinction_Rebellion_Melbourne_-_IMG_4443_(33564980458).jpg	2/27/	AU	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/81043308@N00'>Takver</a> from Australia, <a href='https://commons.wikimedia.org/wiki/File:Climate_Angels_outside_the_Australian_Government_offices_-_Extinction_Rebellion_Melbourne_-_IMG_4443_(33564980458).jpg'>Climate_Angels_outside_the_Australian_Government_offices_-_Extinction_Rebellion_Melbourne_-_IMG_4443_(33564980458).jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/2.0'>CC BY-SA 2.0</a>, via Wikimedia Commons
Austria	AUT	1	Mountainous forests.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Podzemnik' title='User:Podzemnik'>Michal Klajban</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Forest_close_to_Hessh%C3%BCtte,_Ges%C3%A4use_National_Park,_Ennstaler_Alpen,_Austria.jpg	https://commons.wikimedia.org/wiki/File:Forest_close_to_Hessh%C3%BCtte,_Ges%C3%A4use_National_Park,_Ennstaler_Alpen,_Austria.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Forest_close_to_Hessh%C3%BCtte,_Ges%C3%A4use_National_Park,_Ennstaler_Alpen,_Austria.jpg/640px-Forest_close_to_Hessh%C3%BCtte,_Ges%C3%A4use_National_Park,_Ennstaler_Alpen,_Austria.jpg	5/5f/	AT	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Podzemnik' title='User:Podzemnik'>Michal Klajban</a>, <a href='https://commons.wikimedia.org/wiki/File:Forest_close_to_Hessh%C3%BCtte,_Ges%C3%A4use_National_Park,_Ennstaler_Alpen,_Austria.jpg'>Forest_close_to_Hessh%C3%BCtte,_Ges%C3%A4use_National_Park,_Ennstaler_Alpen,_Austria.jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/4.0'>CC BY-SA 4.0</a>, via Wikimedia Commons
Austria	AUT	2	Organic vineyard.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Verita' title='User:Verita'>Verita</a>	CC BY 3.0	https://creativecommons.org/licenses/by/3.0	Organic-Vineyard-Austria-Neusiedlersee.jpg	https://commons.wikimedia.org/wiki/File:Organic-Vineyard-Austria-Neusiedlersee.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Organic-Vineyard-Austria-Neusiedlersee.jpg/640px-Organic-Vineyard-Austria-Neusiedlersee.jpg	0/01/	AT	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Verita' title='User:Verita'>Verita</a>, <a href='https://commons.wikimedia.org/wiki/File:Organic-Vineyard-Austria-Neusiedlersee.jpg'>Organic-Vineyard-Austria-Neusiedlersee.jpg</a>; <a href='https://creativecommons.org/licenses/by/3.0'>CC BY 3.0</a>, via Wikimedia Commons
Austria	AUT	3	Austria has one of the world’s lowest maternal and child mortality rates.	Unsplash	NA	NA	NA	NA	NA	NA	https://unsplash.com/photos/REKXJ7JhwiI	NA	NA	AT	NA	NA	NA
Azerbaijan	AZE	1	The Caspian sea suffers from pollution resulting from oil extraction and refining.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/photos/7500616@N08'>teuchterlad</a>	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Bailovo,_Baku,_Azerbaijan.jpg	https://commons.wikimedia.org/wiki/File:Bailovo,_Baku,_Azerbaijan.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Bailovo,_Baku,_Azerbaijan.jpg/640px-Bailovo,_Baku,_Azerbaijan.jpg	1/18/	AZ	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/photos/7500616@N08'>teuchterlad</a>, <a href='https://commons.wikimedia.org/wiki/File:Bailovo,_Baku,_Azerbaijan.jpg'>Bailovo,_Baku,_Azerbaijan.jpg</a>; <a href='https://creativecommons.org/licenses/by/2.0'>CC BY 2.0</a>, via Wikimedia Commons
Azerbaijan	AZE	2	Oil pump in Baku.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Gulustan' title='User:Gulustan'>Gulustan</a>	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Oil_pump_in_Baku.jpg	https://commons.wikimedia.org/wiki/File:Oil_pump_in_Baku.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Oil_pump_in_Baku.jpg/640px-Oil_pump_in_Baku.jpg	7/7b/	AZ	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Gulustan' title='User:Gulustan'>Gulustan</a>, <a href='https://commons.wikimedia.org/wiki/File:Oil_pump_in_Baku.jpg'>Oil_pump_in_Baku.jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/3.0'>CC BY-SA 3.0</a>, via Wikimedia Commons
Azerbaijan	AZE	3	Azerbaijan falls short in key areas of gender equality, maternal and child health, the gender wage gap, and increasing women’s political representation.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/41000732@N04'>Adam Jones</a> from Kelowna, BC, Canada	CC BY-SA 2.0	https://creativecommons.org/licenses/by-sa/2.0	Woman_with_Chicks_-_Taza_Bazaar_-_Sheki_-_Azerbaijan_(18238682806).jpg	https://commons.wikimedia.org/wiki/File:Woman_with_Chicks_-_Taza_Bazaar_-_Sheki_-_Azerbaijan_(18238682806).jpg	NA	4/42/	AZ	https://upload.wikimedia.org/wikipedia/commons/4/42/Woman_with_Chicks_-_Taza_Bazaar_-_Sheki_-_Azerbaijan_%2818238682806%29.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Woman_with_Chicks_-_Taza_Bazaar_-_Sheki_-_Azerbaijan_(18238682806).jpg/640px-Woman_with_Chicks_-_Taza_Bazaar_-_Sheki_-_Azerbaijan_(18238682806).jpg	NA
