Country	iso3c	ID	Caption	Provider	Artist	ArtistURL	License	LicenseURL	ImageName	InfoURL	FileURL	folder	CreditHTML	Format	Width	Height	iso2c
Angola	AGO	1	A rural Angola village.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Streetscene_Angola_village.JPG	NA	NA	NA	NA	NA	NA	AO
Angola	AGO	2	Agroforestry contour planting.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Agroforestry_contour_planting.jpg	NA	NA	NA	NA	NA	NA	AO
Angola	AGO	3	Polluted waters.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Water_pollution_due_to_plastic.jpg	NA	NA	NA	NA	NA	NA	AO
Antigua & Barbuda	ATG	1	Tourism threatens the remaining forest as well as the mangroves which are being cleared for large-scale hotels.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:St_John%27s,_Antigua_and_Barbuda_-_panoramio_(1).jpg	NA	NA	NA	NA	NA	NA	AG
Antigua & Barbuda	ATG	2	Most of the trees were destroyed in order to make room for the sugar cane plantations.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Plantation_sugar_mills.jpg	NA	NA	NA	NA	NA	NA	AG
Antigua & Barbuda	ATG	3	Education in Antigua and Barbuda has had some successes largely as the result of mandatory school enrollment for all children aged five to 16.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Antigua-_Buckleys_Primary_School_(7178622314).jpg	NA	NA	NA	NA	NA	NA	AG
Argentina	ARG	1	Cristina Fernandez De Kirchner, who is serving as the 37th Vice President of Argentina since 2019. She also previously served as the President of Argentina from 2007 to 2015 and the first lady during the tenure of her husband, Néstor Kirchner.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Cristina_Fern%C3%A1ndez_de_Kirchner_-_Foto_Oficial_2.jpg	NA	NA	NA	NA	NA	NA	AR
Argentina	ARG	2	Deforestation due to agricultural expansion of soybean is threatening the Yungas ""cloud forest."".	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Selva_montana_de_las_Yungas_en_Catamarca,_Argentina.jpg	NA	NA	NA	NA	NA	NA	AR
Argentina	ARG	3	Soybean farming.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Sembrado_de_soja_en_argentina.jpg	NA	NA	NA	NA	NA	NA	AR
Armenia	ARM	1	Mountainous terrain.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Armenia,_mountains_P8210292_2350.jpg	NA	NA	NA	NA	NA	NA	AM
Armenia	ARM	2	Impoverished rural village.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Shorzha,_Armenia.JPG	NA	NA	NA	NA	NA	NA	AM
Armenia	ARM	3	The polluted Shnogh and Debed Rivers.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Teghut_Mine_-_polluted_Shnogh_River_meets_Debed_River.jpg	NA	NA	NA	NA	NA	NA	AM
Australia	AUS	1	The Great Barrier Reef has been designated “critical status” by the IUCN.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Great_barrier_reef.JPG	NA	NA	NA	NA	NA	NA	AU
Australia	AUS	2	The European Rabbit is one of many invasive species that hurts Australia's native species and crops.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Oryctolagus_cuniculus_Tasmania_2.jpg	NA	NA	NA	NA	NA	NA	AU
Australia	AUS	3	""Climate Angel"" protestors advocating for sustainability.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Climate_Angels_outside_the_Australian_Government_offices_-_Extinction_Rebellion_Melbourne_-_IMG_4443_(33564980458).jpg	NA	NA	NA	NA	NA	NA	AU
Austria	AUT	1	Mountainous forests.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Forest_close_to_Hessh%C3%BCtte,_Ges%C3%A4use_National_Park,_Ennstaler_Alpen,_Austria.jpg	NA	NA	NA	NA	NA	NA	AT
Austria	AUT	2	Organic vineyard.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Organic-Vineyard-Austria-Neusiedlersee.jpg	NA	NA	NA	NA	NA	NA	AT
Austria	AUT	3	Austria has one of the world’s lowest maternal and child mortality rates.	Unsplash	NA	NA	NA	NA	NA	https://unsplash.com/photos/REKXJ7JhwiI	NA	NA	NA	NA	NA	NA	AT
Azerbaijan	AZE	1	The Caspian sea suffers from pollution resulting from oil extraction and refining.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Bailovo,_Baku,_Azerbaijan.jpg	NA	NA	NA	NA	NA	NA	AZ
Azerbaijan	AZE	2	Oil pump in Baku.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Oil_pump_in_Baku.jpg	NA	NA	NA	NA	NA	NA	AZ
Azerbaijan	AZE	3	Azerbaijan falls short in key areas of gender equality, maternal and child health, the gender wage gap, and increasing women’s political representation.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Woman_with_Chicks_-_Taza_Bazaar_-_Sheki_-_Azerbaijan_(18238682806).jpg	NA	NA	NA	NA	NA	NA	AZ
Azerbaijan	AZE	4	Of the more than one million seals which inhabited the shores and islands of the Caspian a century ago fewer than 10 percent remain, and the species has been declared endangered.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Stamp_of_Azerbaijan_-_1997_-_Colnect_879218_-_Caspian_Seal_Phoca_caspica.jpeg	NA	NA	NA	NA	NA	NA	AZ
Bahamas	BHS	1	Crystal clear ocean water and sandy beaches favor a heavy tourism-based economy.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Warwick_Paradise_in_Island_Bahamas.jpg	NA	NA	NA	NA	NA	NA	BS
Bahamas	BHS	2	Serious concerns have been raised about coral reef damage by luxury cruise ships anchored offshore.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Bahamas_Cruise_-_ship_exterior_-_June_2018_(3578).jpg	NA	NA	NA	NA	NA	NA	BS
Bahrain	BHR	1	Coral reefs, sea turtles, and numerous fish species are suffering the effects of marine pollution.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Welcoming_Persian_Gulf_-_Flickr_-_Hamed_Saber.jpg	NA	NA	NA	NA	NA	NA	BH
Bahrain	BHR	2	Dugongs.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Dugong_Marsa_Alam.jpg	NA	NA	NA	NA	NA	NA	BH
Bahrain	BHR	3	Kingdom of Bahrain is a cluster of 35 to 45 Islands and atolls an archipelago made up of a group of islands with its main island comprising 85% of the country’s land mass.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Colours_of_the_Persian_Gulf_ESA353290.jpg	NA	NA	NA	NA	NA	NA	BH
Bahrain	BHR	4	Population growth has been driven almost entirely by immigration of low wage workers from South Asia.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Migrant_workers_in_West_Bay_Doha.jpg	NA	NA	NA	NA	NA	NA	BH
Bangladesh	BGD	1	60% of the population is under the age of 25 years. The teenage (15 – 19 years) birth rate is twice as high as that of the US.	Pixabay	NA	NA	NA	https://pixabay.com/service/license/	NA	NA	https://cdn.pixabay.com/photo/2019/11/01/12/15/bangladesh-4594049_1280.jpg	NA	NA	NA	NA	NA	BD
Bangladesh	BGD	2	Billboard promoting girls’ education.	Wikimedia	NA	NA	NA	NA	NA	NA	https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Billboard_Promoting_Girls%27_Education_-_Tobolchuri_-_Chittagong_Hill_Tracts_-_Bangladesh_%2813241169394%29.jpg/640px-Billboard_Promoting_Girls%27_Education_-_Tobolchuri_-_Chittagong_Hill_Tracts_-_Bangladesh_%2813241169394%29.jpg	NA	NA	NA	NA	NA	BD
Bangladesh	BGD	3	Many of Bangladesh’s evironmental problems are driven by rapid and unplanned urbanisation.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Dhaka_14th_March_(32624769393).jpg	NA	NA	NA	NA	NA	NA	BD
Bangladesh	BGD	4	Climate-induced extreme events are increasingly common.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Baridhara_DOHS_during_2004_flood.JPG	NA	NA	NA	NA	NA	NA	BD
Bangladesh	BGD	5	Population growth stresses the agricultural systems that ensure adequate food production.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Agriculture_in_Bangladesh_(02).jpg	NA	NA	NA	NA	NA	NA	BD
Barbados	BRB	1	With 285,000 people the island is 18 times more densely populated than the United States.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Aerial_view_of_Bridgetown_Barbados.jpg	NA	NA	NA	NA	NA	NA	BB
Barbados	BRB	2	Barbados is largely dependent on oil imports.	Wikimedia	NA	NA	NA	NA	NA	NA	https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Shell_Bay_St_Bridgetown.jpg/640px-Shell_Bay_St_Bridgetown.jpg	NA	NA	NA	NA	NA	BB
Barbados	BRB	3	Barbados has implemented a nationwide family planning program which is starting to slow population growth.	Wikimedia	NA	NA	NA	NA	NA	NA	https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Saint_Lawrence_Primary%2C_Barbados4.jpg/640px-Saint_Lawrence_Primary%2C_Barbados4.jpg	NA	NA	NA	NA	NA	BB
Belarus	BLR	1	Belarus has achieved a score on the Gender Equality Index better than the average in countries with very high human development.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Couple_from_a_Belarus_wedding.jpg	NA	NA	NA	NA	NA	NA	BY
Belarus	BLR	2	One in eight Belarusians still live in areas polluted by radiation after the Chernobyl catastrophe.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Stamp_of_Belarus_-_1996_-_Colnect_278435_-_Eye_with_radiation_symbol.jpeg	NA	NA	NA	NA	NA	NA	BY
Belarus	BLR	3	Belarus scores in the top 1/4 of countries based on overall environmental health.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:4618_Nature_in_Hrodna_Region_Belarus_May_2019.JPG	NA	NA	NA	NA	NA	NA	BY
Belgium	BEL	1	Belgium has a very dense network of roads, railways and navigation canals.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Belgium_railroad_map_-_spoorlijn_167.svg	NA	NA	NA	NA	NA	NA	BE
Belgium	BEL	2	Industry and very intensive animal breeding and crop cultivation impose further pressures on air, soil, water resources and nature.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Houyet,_Belgium_-_panoramio.jpg	NA	NA	NA	NA	NA	NA	BE
Belgium	BEL	3	Belgian women are now better educated than their male counterparts.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Open_Data_community_day_Belgium_2019_(6).jpg	NA	NA	NA	NA	NA	NA	BE
Belgium	BEL	4	Open land is disappearing.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Crepuscular_rays_in_the_woods_of_Kasterlee,_Belgium.jpg	NA	NA	NA	NA	NA	NA	BE
Belize	BLZ	1	Fishing is a main sector of the economy.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Fishing_boat_in_Belize.jpg	NA	NA	NA	NA	NA	NA	BZ
Belize	BLZ	2	Forest resources are under threat from the pressures of agriculture.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Belize_farming_gm.jpg	NA	NA	NA	NA	NA	NA	BZ
Belize	BLZ	3	Poverty is a significant problem in Belize.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Belize_-_Houses_in_Northside.jpg	NA	NA	NA	NA	NA	NA	BZ
Belize	BLZ	4	Belize is home to the longest barrier reef in the Western hemisphere,.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Caye_Caulker_Belize_drone_(20884019621).jpg	NA	NA	NA	NA	NA	NA	BZ
Belize	BLZ	5	Tourism brings in more than $200 million to Belize.	Pixabay	NA	NA	NA	https://pixabay.com/service/license/	NA	https://pixabay.com/photos/belize-people-person-tourism-1345133/	NA	NA	NA	NA	NA	NA	BZ
Benin	BEN	1	Average fertility rate of almost 5 children per mother.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Family_ride_Porto_Novo_Benin_-_Anton_Crone.jpg	NA	NA	NA	NA	NA	NA	BJ
Benin	BEN	2	High deforestation rates are a result of rising population pressures.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Forest_of_Abomey-Benin.jpg	NA	NA	NA	NA	NA	NA	BJ
Benin	BEN	3	Benin’s wildlife like this Red-bellied tamarin are under increasing threat.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Red-bellied_tamarin_(Saguinus_labiatus)_2.jpg	NA	NA	NA	NA	NA	NA	BJ
Benin	BEN	4	Water pollution is a persistent problem.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Lina6.jpg	NA	NA	NA	NA	NA	NA	BJ
Bhutan	BTN	1	Manas National Forest may be listed as endangered because of encroachment from farm activity.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Manas_National_Park.jpg	NA	NA	NA	NA	NA	NA	BT
Bhutan	BTN	2	A hydroelectric project in Bhutan.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Wan_hydroelectric_project_wan_dam_akola_chief_engineer_hydro_assistant_engineer_hydro_mpsc.jpg	NA	NA	NA	NA	NA	NA	BT
Bhutan	BTN	3	Bhutan’s King created the Gross National Happiness index.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Kings_and_Prince_of_Bhutan_2017.jpg	NA	NA	NA	NA	NA	NA	BT
Bhutan	BTN	4	Gender-based violence against women and girls is one of Bhutan’s most significant social issues.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Bhutan_-_Flickr_-_babasteve_(17).jpg	NA	NA	NA	NA	NA	NA	BT
Bolivia	BOL	1	Bolivia, bridging Amazonia and the Andes, harbors astonishing biodiversity and ecosystems.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Forest,_Santa_Criz_Dept,_Bolivia.jpg	NA	NA	NA	NA	NA	NA	BO
Bolivia	BOL	2	Bolivia is one of the poorest countries in South America.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Circle_of_life%3F.jpg	NA	NA	NA	NA	NA	NA	BO
Bolivia	BOL	3	The country has among the highest fertility and infant mortality rates and lowest average life expectancies in Latin America.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:In_the_Cold_of_La_Paz_(8269131168).jpg	NA	NA	NA	NA	NA	NA	BO
Bolivia	BOL	4	Bolivia has achieved gender parity in politics.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Gabinete_Ministros_Gobierno_Evo_Morales_2017_2018.jpg	NA	NA	NA	NA	NA	NA	BO
Bosnia & Herzegovina	BIH	1	Second deadliest in the world for air pollution.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Gacko_%E2%80%93_Power_Plant_2.jpg	NA	NA	NA	NA	NA	NA	BA
Bosnia & Herzegovina	BIH	2	Hydropower is a hugely destructive issue - damning rivers rips apart riverbeds and forest ecosystems.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Zvornik_Drina_Dam.JPG	NA	NA	NA	NA	NA	NA	BA
Bosnia & Herzegovina	BIH	3	A steady stream of emigration has resulted from bleak economic opportunities.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Exercise,_Bosnia_(3802597818).jpg	NA	NA	NA	NA	NA	NA	BA
Botswana	BWA	1	Botswana has committed additional resources toward educating and empowering women.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:-Girls_in_ICT_2.jpg	NA	NA	NA	NA	NA	NA	BW
Botswana	BWA	2	Girls who remain in school tend to marry later in life, be more employable, be financially independent and have fewer children.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Radio_personality.jpg	NA	NA	NA	NA	NA	NA	BW
Botswana	BWA	3	About 38% of Botswana’s total area is devoted to national parks, reserves and wildlife management areas. Botswana’s sparse population makes it easy to protect wildlife and conserve landscapes.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Elephants_in_the_Okavango_Delta_-_Botswana_-_panoramio.jpg	NA	NA	NA	NA	NA	NA	BW
Brazil	BRA	1	Brazil is a huge geographical land mass larger than the continent of Australia.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Territorial_waters_-_Brazil.svg	NA	NA	NA	NA	NA	NA	BR
Brazil	BRA	2	Brazil has more animal and plant species than any other country in the world.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Toco_Toucan_(Ramphastos_toco)_in_Papaya_Tree_(Carica_papaya)_(28997424215).jpg	NA	NA	NA	NA	NA	NA	BR
Brazil	BRA	3	Deforestation in the Amazon has accelerated. Brazilian leader Bolsonaro has called for economic development in the jungle which has emboldened land grabbers, illegal ranchers and wildcat miners.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Amazon_rainforest_(Satellite_picture)_-_3.jpg	NA	NA	NA	NA	NA	NA	BR
Brazil	BRA	4	Bolsonaro’s opposition to gender equality and his disparaging treatment of women threaten hard-earned sexual and reproductive health and rights in the country.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Intl_womens_day_brazil_womens_hosp.jpg	NA	NA	NA	NA	NA	NA	BR
Brunei	BRN	1	Brunei is known for its beaches and biodiverse rainforest, much of it protected within reserves.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Tasek_Merimbun_Heritage_Park.Brunei._(9565514695).jpg	NA	NA	NA	NA	NA	NA	BN
Brunei	BRN	2	Brunei’s economy is supported by exports of crude oil and natural gas.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Brunei_Pumpjack-2.jpg	NA	NA	NA	NA	NA	NA	BN
Brunei	BRN	3	With a good standard of living driven primarily by the petroleum economy, Brunei’s population and consumption exceed the country’s carrying capacity.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Brunei_City_Mosque_-_panoramio.jpg	NA	NA	NA	NA	NA	NA	BN
Bulgaria	BGR	1	Bulgaria is shrinking. Large portions of the countryside have been hollowed out as the population is gone, but the buildings still stand.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Yambol,_Bulgaria_-_panoramio_(1).jpg	NA	NA	NA	NA	NA	NA	BG
Bulgaria	BGR	2	Bulgaria’s lack of pollution control measures for landfills has led to significant contamination of soil and groundwater.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Landfill.jpg	NA	NA	NA	NA	NA	NA	BG
Bulgaria	BGR	3	Bulgaria holds the first place in the EU for women in the IT sector – 30%. Nearly one-third of Bulgarian businesses are owned by women entrepreneurs.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:SashaBezuhanova.jpg	NA	NA	NA	NA	NA	NA	BG
Burkina Faso	BFA	1	The national economy is largely based on agriculture.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:BurkinaFaso_Agriculture.jpg	NA	NA	NA	NA	NA	NA	BF
Burkina Faso	BFA	2	There is only one permanent river in the country and water resources are limited,.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Balga,_February_2010,_Women_around_the_water_pump.jpg	NA	NA	NA	NA	NA	NA	BF
Burkina Faso	BFA	3	The country has a very high fertility rate of over 5 children per mother.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Children_dourtenga.JPG	NA	NA	NA	NA	NA	NA	BF
Burkina Faso	BFA	4	The government is recognizing the spiraling human and ecological crisis and through partnerships with other African countries to improve family planning outcomes.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Presentation_of_Credentials_by_Burkina_Faso_(32274969013).jpg	NA	NA	NA	NA	NA	NA	BF
Burundi	BDI	1	A small country by land area with a high population density.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Bujumbura_market_-_Flickr_-_Dave_Proffer.jpg	NA	NA	NA	NA	NA	NA	BI
Burundi	BDI	2	One of the world's poorest countries.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Road_between_Burundi_Gitega_and_Bujumbura_-_Flickr_-_Dave_Proffer_(1).jpg	NA	NA	NA	NA	NA	NA	BI
Burundi	BDI	3	90% work in predominantly subsistence agriculture.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Typical_house_in_an_urban_area_of_a_small_town_in_Burundi_(6915219651).jpg	NA	NA	NA	NA	NA	NA	BI
Burundi	BDI	4	5 to 6 children per mother.	Pixabay	NA	NA	NA	https://pixabay.com/service/license/	NA	https://pixabay.com/photos/child-african-poor-poverty-orphan-5445463/	NA	NA	NA	NA	NA	NA	BI
Cabo Verde	CPV	1	Arable land covers only about 10 percent of the total area.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Aerogeradores_(S_Vicente,_Cabo_Verde).JPG	NA	NA	NA	NA	NA	NA	CV
Cabo Verde	CPV	2	Country is highly dependent on food imports.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Praia_market_potatoes_manioc.jpg	NA	NA	NA	NA	NA	NA	CV
Cabo Verde	CPV	3	Soil loss through wind and water erosion is a serious challenge.	Pixabay	NA	NA	NA	https://pixabay.com/service/license/	NA	https://pixabay.com/photos/boa-vista-cape-verde-desert-drought-2479700/	NA	NA	NA	NA	NA	NA	CV
Cabo Verde	CPV	4	Relatively high rate of youth literacy at 98 percent.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Finalistas_do_jardim_infantil.jpg	NA	NA	NA	NA	NA	NA	CV
Cambodia	KHM	1	High population level puts pressure on much of Cambodia’s forests including land encroachment, harvesting of non-timber forest products inside restricted zones.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Mondul_Kiri_Cambodia_3080.jpg	NA	NA	NA	NA	NA	NA	KH
Cambodia	KHM	2	Fertility rates have decreased from more than 4 children per mother in 2000 to approximately 2 ½  children today.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:People_of_Cambodia_in_2014._img_01.jpg	NA	NA	NA	NA	NA	NA	KH
Cambodia	KHM	3	The labor market is still dominated by poorly educated and low skilled workers.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Child_labor_in_Siem_Reap,_Cambodia.jpg	NA	NA	NA	NA	NA	NA	KH
Cambodia	KHM	4	Better access to contraception and narrowing gap between boys and girls education.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Former_Foreign_Minister_Bob_Carr_visits_Cambodian_Midwife_Project_(10696171124).jpg	NA	NA	NA	NA	NA	NA	KH
Cameroon	CMR	1	Rich tropical biodiversity.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Cameroon_gorilla.jpg	NA	NA	NA	NA	NA	NA	CM
Cameroon	CMR	2	High fertility of over 4 children per mother.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Douala_-Cameroon.jpg	NA	NA	NA	NA	NA	NA	CM
Cameroon	CMR	3	Deforestation is beginning to have a significant environmental impact.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Cameroon_-_forests.jpg	NA	NA	NA	NA	NA	NA	CM
Cameroon	CMR	4	Declining elephant population.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Les_%C3%A9l%C3%A9phants_dans_la_r%C3%A9serve_faunique_de_Kalfou.jpg	NA	NA	NA	NA	NA	NA	CM
Cameroon	CMR	5	A brand-new highway cuts through the heart of the once undisturbed forests of the Congo Basin.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Far_North_of_Cameroon.jpg	NA	NA	NA	NA	NA	NA	CM
