Country	iso3c	ID	Caption	Provider	Artist	ArtistExtra	ArtistURL	Artist2ndURL	ArtistHTML	License	LicenseURL	InfoURL	FileURL	iso2c	folder	ImageName	OriginURL	Previous effort to make Attribution
El Salvador	SLV	2	Deforestation is an increasing threat to biodiversity as the human population grows and places greater demand on forests for timber and conversion to farming.	Pixabay	gerson_rodriguez	NA	https://pixabay.com/users/gerson_rodriguez-215971/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/el-salvador-door-of-the-devil-2038137/	https://pixabay.com/get/gb61b8d3666ad936443715d64a893a2b23bc58e3103791551e673814f79861dd9c57e665f1badd43de9de4f21e5826c1825dd4def74794d514f688933c61b81f6_640.jpg	SV	NA	2038137	NA	NA
The Gambia	GMB	1	The Gambia’s rapid population growth is putting tremendous pressure on its few resources and remaining forests.	Pixabay	hnijssen	NA	https://pixabay.com/users/hnijssen-79102/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/gambia-market-woman-creole-africa-239849/	https://pixabay.com/get/g78cec2d35ad1cde885adcec124a5b7ef310bd447622bced5ec90a7fcc4545083e38c68a4ba227f58c670d6cb44c72066_640.jpg	GM	NA	239849	NA	NA
Luxembourg	LUX	3	Limestone quarry in Luxembourg. The OECD reports pressures on the environment are numerous and strong: urban sprawl, landscape fragmentation and immense traffic from across the border.	Pixabay	JessicaJohnson	NA	https://pixabay.com/users/JessicaJohnson-1415363/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/limestone-quarry-luxembourg-mineral-963672/	https://pixabay.com/get/ge6dda15874b406805c5eed5e79447ab8e938b58a8d45d62b0bc57794762486f056ef53def8d8f5a33688426fda15ff51_640.jpg	LU	NA	963672	NA	NA
Malawi	MWI	3	Landholdings have become smaller and smaller to accommodate the increasing population. Smaller farms combined with soil erosion have degraded agricultural land and decreased Malawi’s arable land.	Pixabay	Graham-H	NA	https://pixabay.com/users/Graham-H-5475750/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/malawi-village-rural-africa-house-2388149/	https://pixabay.com/get/gd76adfc01fd906d82a6d21093619fbe0fbdf9aef389161ad84441689ca2d2a855a139f23fa0e8086b964021039c8bd9660851ef3765dc0bae4a6f2b036ecfaea_640.jpg	MW	NA	2388149	NA	NA
Mali	MLI	1	Mali is one of the economically poorest countries in the world.	Pixabay	12019	NA	https://pixabay.com/users/12019-12019/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/mali-boats-good-produce-town-80855/	https://pixabay.com/get/g7b086a7464038332d31ae914edaee51379ca266716a68618b8795feadfce4a35e379b33619eb890fce3f5474b539d827_640.jpg	ML	NA	80855	NA	NA
Malta	MLT	2	Malta’s population is ten times greater than what can be sustained by its natural resources.	Pixabay	antheah	NA	https://pixabay.com/users/antheah-501421/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/malta-travel-tourism-europe-island-485321/	https://pixabay.com/get/g00cab325f8266b91c1ac298ebf5092a13f94b2a4a3f4a7cb48bf9ad86777e9aa8ddfabdfa0884af5ff0f61fe458ee3f5_640.jpg	MT	NA	485321	NA	NA
Malta	MLT	3	Deforestation and habitat loss are a problem on the island.	Pixabay	Mojpe	NA	https://pixabay.com/users/Mojpe-885231/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/gozo-malta-lighthouse-panoramic-3105847/	https://pixabay.com/get/g559f4b976c75fbbca3eb49fec0e85720850c17d33a9bea66343ba81354997fe2d2bbd76db4a3d3cc81ef1e3cb2501752684e66f9bc4bb265ec6d00f44b74a351_640.jpg	MT	NA	3105847	NA	NA
Malta	MLT	4	The Blue Rock Thrush is still a fairly common breeding resident, but the overall human interference has pushed the species mainly to the sea-cliff habitats.	Pixabay	Johnnys_pic	NA	https://pixabay.com/users/Johnnys_pic-21062476/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/blue-rock-thrush-bird-concrete-6316886/	https://pixabay.com/get/g2c17e0fca4cc67f4febf802ad44743e53ad1335cf787cb6119f9c05339f6090d8ff1f2e91631d8125d6ae9c703f0652fcacb1afd647012399349eb5535723cca_640.jpg	MT	NA	6316886	NA	NA
Afghanistan	AFG	1	Inadequate female education.	Pixnio	USAID	NA	<not available>	NA	NA	CC0	https://pixnio.com/creative-commons-license	https://pixnio.com/people/children-kids/afghan-girls-receive-food-aid-and-education	<not available; JM downloaded manually>	AF	NA	NA	NA	NA
Afghanistan	AFG	3	Dessicated wetland.	Pixnio	USFWS	NA	<not available>	NA	NA	CC0	https://pixnio.com/creative-commons-license	https://pixnio.com/nature-landscapes/wetlands-and-swamps/dry-wetlands-in-summer-time	<not available; JM downloaded manually>	AF	NA	NA	NA	NA
Albania	ALB	4	Air pollution.	Pixnio	NA	NA	<not available>	NA	NA	CC0	https://pixnio.com/creative-commons-license	https://pixnio.com/miscellaneous/smoke-technology-toxic-air-pollution-climate-factory	<not available; JM downloaded manually>	AL	NA	NA	NA	NA
Eritrea	ERI	3	With a high fertility rate of over 4 children per mother, the country’s population growth rate is adding over 40,000 more people every year.	Pixnio	J. Kefauver and A. Hagos, USAID	NA	<not available>	NA	NA	CC0	https://pixnio.com/creative-commons-license	https://pixnio.com/people/crowd/women-and-kids-in-eritrea-africa	<not available; JM downloaded manually>	ER	NA	NA	NA	NA
Ethiopia	ETH	1	The government and international NGOs have invested both in family planning and health services.	Pixnio	Margot Kane, USAID	NA	<not available>	NA	NA	CC0	https://pixnio.com/creative-commons-license	https://pixnio.com/people/female-women/community-based-health-workers-in-ethiopia-go-door-to-door-to-teach-natural-family-planning-to-women	<not available; JM downloaded manually>	ET	NA	NA	NA	NA
Guyana	GUY	4	A farmer among pepper plants in Guyana.	Pixnio	Walter Rampersaud, USAID	NA	<not available>	NA	NA	CC0	https://pixnio.com/creative-commons-license	https://pixnio.com/people/male-men/farmer-walks-among-his-bull-nose-pepper-plants-in-tuschen-guyana	<not available; JM downloaded manually>	GY	NA	NA	NA	NA
Haiti	HTI	3	In Haiti, more than a third live with food insecurity and a third of the population lacks access to clean water.	Pixnio	Kendra Helmer, USAID	NA	<not available>	NA	NA	CC0	https://pixnio.com/creative-commons-license	https://pixnio.com/people/farmers-agricultural-training-program-in-haiti	<not available; JM downloaded manually>	HT	NA	NA	NA	NA
Honduras	HND	2	With average fertility rates at 2.5 children per mother and population increasing at roughly 160,000 more citizens a year, the country has now started to exceed its carrying capacity and become unsustainable.	Pixnio	Hector Medrano, USAID	NA	<not available>	NA	NA	CC0	https://pixnio.com/creative-commons-license	https://pixnio.com/people/female-women/mother-and-child-in-a-clinic	<not available; JM downloaded manually>	HN	NA	NA	NA	NA
Indonesia	IDN	3	In Indonesia, girls are more likely than boys to drop out of school. According to UNICEF, for every 10 children that drop out of school at the secondary level, seven are girls.	Pixnio	Roman Woronowycz, USAID	NA	<not available>	NA	NA	CC0	https://pixnio.com/creative-commons-license	https://pixnio.com/people/children-kids/indonesia-six-grade-kids-girls-students-turn-interactive	<not available; JM downloaded manually>	ID	NA	NA	NA	NA
Kazakhstan	KAZ	3	Persistent gender imbalances remain in Kazakhstan, particularly in wages and access to employment and career opportunities.	Pixnio	USAID	NA	<not available>	NA	NA	CC0	https://pixnio.com/creative-commons-license	https://pixnio.com/people/female-women/city-officials-in-kazakhstan-are-paired-with-students-on-a-day-to-show-them-how-government-works	<not available; JM downloaded manually>	KZ	NA	NA	NA	NA
Liberia	LBR	3	Even with its vast resources Liberia is one of the least developed countries in the world. More than half of the population lives in poverty.	Pixnio	USAID	NA	<not available>	NA	NA	CC0	https://pixnio.com/creative-commons-license	https://pixnio.com/people/children-kids/young-african-girl-child-from-liberia	<not available; JM downloaded manually>	LR	NA	NA	NA	NA
Liberia	LBR	4	With a current total fertility rate of over four children per woman (down from six as recently as 2000) and although currently sustainable, Liberia is quickly trending toward unsustainability.	Pixnio	USAID	NA	<not available>	NA	NA	CC0	https://pixnio.com/creative-commons-license	https://pixnio.com/people/crowd/liberia-market-scene-vendors-in-local-market	<not available; JM downloaded manually>	LR	NA	NA	NA	NA
Austria	AUT	3	Austria has one of the world’s lowest maternal and child mortality rates.	Unsplash	Alberto Casetta	NA	https://unsplash.com/@acasetta	NA	NA	Unsplash	https://unsplash.com/license	https://unsplash.com/photos/REKXJ7JhwiI	<not available; JM downloaded manually>	AT	NA	NA	NA	NA
Finland	FIN	1	Finland is the world’s cleanest and greenest country.	Unsplash	Tapiuo Haaja	NA	https://unsplash.com/@tap5a	NA	NA	Unsplash	https://unsplash.com/license	https://unsplash.com/photos/bpDJvls-h-0	<not available; JM downloaded manually>	FI	NA	NA	NA	NA
Finland	FIN	2	More than 70% of Finland’s land area is forest, making it one of the most forested countries in the world.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1601272564986-4d4fb56d0c4c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=975&q=80	FI	NA	NA	NA	NA
Finland	FIN	3	Finland has the cleanest air of the EU countries and the third cleanest air in the world after Canada and Iceland.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1573071790470-d84b8edb650a?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=975&q=80	FI	NA	NA	NA	NA
France	FRA	2	Beach at Antibes, France.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1521309033026-f3438b7c4264?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2247&q=80	FR	NA	NA	NA	NA
France	FRA	3	Walk for Climate.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1616956060234-05a40c266095?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=934&q=80	FR	NA	NA	NA	NA
Gabon	GAB	3	Womens empowerment is an area that needs great improvement.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1627017296244-df4742e25416?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2250&q=80	GA	NA	NA	NA	NA
Guatemala	GTM	1	According to the Population Council, 39% of all indigenous women in the country are illiterate.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1559061542-7f9ef5f51b62?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2250&q=80	GT	NA	NA	NA	NA
Guatemala	GTM	2	Chimaltenango, Guatemala.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1595899896982-dee4933f4510?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2167&q=80	GT	NA	NA	NA	NA
Guyana	GUY	1	The country has so far sustained little serious environmental damage but water supplies are threatened by sewage and by agricultural and industrial chemicals.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1613150371780-66496b7106e8?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1898&q=80	GY	NA	NA	NA	NA
Haiti	HTI	2	Port Au Prince, Haiti.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1583029364705-25981646947c?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=975&q=80	HT	NA	NA	NA	NA
Honduras	HND	3	As a result of the increasing pressures from population growth much of the biodiversity of the country is under serious threat.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1505759600237-87aaf407ab96?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2000&q=80	HN	NA	NA	NA	NA
Honduras	HND	4	Honduras is a poor country.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1622435969864-887eba6f4ff9?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=934&q=80	HN	NA	NA	NA	NA
Hungary	HUN	1	The OECD’s third Environmental Performance Review of Hungary says more also needs to be done to address air and water pollution.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1614794897186-42f4fa5e17ff?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2600&q=80	HU	NA	NA	NA	NA
Hungary	HUN	3	Hungary’s population has been declining gradually since 1980 and has seen an overall population decline of about one million citizens or about 10%.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1546776473-c5f38714e230?ixid=MnwxMjA3fDB8MHxzZWFyY2h8Mjh8fGh1bmdhcnl8ZW58MHx8MHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=60	HU	NA	NA	NA	NA
India	IND	2	Rapid population growth threatens the destruction of natural habitats.	Unsplash	NA	NA	https://unsplash.com/@gautamarora1991?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText	NA	NA	Unsplash	https://unsplash.com/license	https://unsplash.com/photos/dCnHbVhM2w8	<not available; JM downloaded manually>	IN	NA	NA	NA	NA
Indonesia	IDN	1	Indonesia’s traditional rickshaw cycle.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1527965408463-82ae0731825c?ixid=MnwxMjA3fDB8MHxzZWFyY2h8Nnx8aW5kb25lc2lhfGVufDB8fDB8fA%3D%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=60	ID	NA	NA	NA	NA
Iran	IRN	3	The parks are being subsumed by development.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1505569399497-2fc102b0887c?ixid=MnwxMjA3fDB8MHxzZWFyY2h8MzF8fGlyYW4lMjBjaXR5fGVufDB8fDB8fA%3D%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=500&q=60	IR	NA	NA	NA	NA
Iraq	IRQ	1	With 2/3 of the country arid or semi arid, Iraq’s renewable resources are limited.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1593686274507-5629ef38a155?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1600&q=80	IQ	NA	NA	NA	NA
Ireland	IRL	1	Ireland is one of the least forested European countries with 9% of its land covered by trees.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1511219096939-ce77f5f44cc8?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2000&q=80	IE	NA	NA	NA	NA
Ivory Coast	CIV	3	Almost a third of all women (currently between ages 20-24) gave birth before the age of 18.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1552710307-8d1c604d6319?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1600&q=80	CI	NA	NA	NA	NA
Jamaica	JAM	3	Shanty Town in Falmouth, Jamaica.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1614528371923-d683db1cc6ff?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2667&q=80	JM	NA	NA	NA	NA
Kazakhstan	KAZ	1	Almaty, Kazakhstan.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1548450847-8a9a5cc3968f?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2673&q=80	KZ	NA	NA	NA	NA
Kazakhstan	KAZ	2	Kazakhstan is the ninth largest country in the world and is estimated to hold vast reserves of many non renewable natural resources.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1592749933639-bfbb7bcef86b?ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTJ8fGthemFraHN0YW58ZW58MHx8MHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=60	KZ	NA	NA	NA	NA
Kenya	KEN	1	Kenya is known for its vast savannah and rich wildlife. It’s economy and its citizen's livelihoods depend on their natural resources and nature-based tourism.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1519659528534-7fd733a832a0?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2052&q=80	KE	NA	NA	NA	NA
Kyrgyzstan	KGZ	1	More than 40% of agricultural land is degraded and over 85% of land is exposed to erosion, posing serious threats to food security and agricultural production.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1613560361120-25c33e26c40a?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1740&q=80	KG	NA	NA	NA	NA
Latvia	LVA	1	Latvia has abundant water and forests that make up half its territory.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1622959185723-7cc78767d064?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2671&q=80	LV	NA	NA	NA	NA
Latvia	LVA	2	Riga, Latvia.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1566082544790-53f82bed239e?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1336&q=80	LV	NA	NA	NA	NA
Lesotho	LSO	2	Basotho woman working in nursery.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1582915331879-5a87d7abf87c?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2676&q=80	LS	NA	NA	NA	NA
Luxembourg	LUX	1	Based on the highest amount of resource use per person in the world, Luxembourg has over ten times more citizens than its renewable resources can support.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1564845301245-d6a40164075e?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2670&q=80	LU	NA	NA	NA	NA
Madagascar	MDG	1	With a very high fertility rate of over 4 children per woman, Madagascar is adding over 700,000 citizens a year.	Unsplash	NA	NA	https://unsplash.com/@2photopots	NA	NA	Unsplash	https://unsplash.com/license	https://unsplash.com/photos/498UjzgcwA0	<not available; JM downloaded manually>	MG	NA	NA	NA	NA
Madagascar	MDG	2	Nearly all 115 lemur species are endangered, and a third are on the brink of extinction.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1559637283-ecf9fe8ba0c4?ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fG1hZGFnYXNjYXJ8ZW58MHx8MHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=60	MG	NA	NA	NA	NA
Moldova	MDA	1	Moldova suffered extreme land degradation during the Soviet period, when industrial and agricultural development proceeded without regard for environmental protection.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1619716731507-f71962bea2cb?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2669&q=80	MD	NA	NA	NA	NA
Montenegro	MNE	1	Montenegro is a small country along the Adriatic sea.	Unsplash	NA	NA	NA	NA	NA	Unsplash	https://unsplash.com/license	NA	https://images.unsplash.com/photo-1502824420498-012d4c4f0c42?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=870&q=80	ME	NA	NA	NA	NA
